Berles_id;Rendszam;Kat_besorolas;Berles_kezd_ev_ho_nap;Berles_kezd_ora_perc_mp;Berles_vege_ev_ho_nap;Berles_vege_ora_perc_mp;Felh_nev
1;RDW-595;3;2024-06-27;11:02:20;2024-06-27;11:56:54;POesztor3100
2;AABD-740;2;2024-10-20;06:04:10;2024-10-20;06:11:12;BirOu2199
3;MGL-460;3;2024-07-18;16:00:41;2024-07-18;16:08:06;eos498
4;AABJ-092;3;2024-10-19;06:52:37;2024-10-19;07:48:03;dignissimos694
5;AAAC-380;3;2024-06-22;04:56:00;2024-06-22;05:44:59;VOeradi5072
6;STQ-669;4;2024-06-30;02:05:00;2024-06-30;02:11:08;quis915
7;AACD-528;1;2024-09-27;14:39:32;2024-09-30;06:32:54;placeat606
8;AABN-773;1;2024-05-31;02:10:02;2024-05-31;02:28:45;TOuth5131
9;AABC-659;3;2024-08-07;13:39:18;2024-08-07;14:25:52;TOuth9826
10;AAAM-214;3;2024-10-25;02:51:43;2024-10-25;03:48:01;corporis794
11;AACF-924;3;2024-08-11;08:49:38;2024-08-13;06:53:39;omnis447
12;PPH-818;5;2024-08-31;09:37:14;2024-09-02;19:25:22;et373
13;TLL-220;2;2024-07-24;07:30:32;2024-07-24;07:31:44;eaque668
14;PDN-627;5;2024-05-05;20:24:32;2024-05-05;20:39:32;SzUUcs9801
15;RVE-189;4;2024-10-23;22:18:27;2024-10-23;22:21:00;FehOor8320
16;PCA-878;2;2024-08-21;19:18:35;2024-08-21;20:06:44;TOuth6636
17;AAAM-588;4;2024-07-26;08:55:48;2024-07-29;00:54:47;error914
18;AACK-654;2;2024-06-03;04:32:06;2024-06-05;14:32:07;quis915
19;AACE-718;1;2024-08-30;16:35:29;2024-08-30;17:04:11;voluptas328
20;AABH-662;5;2024-09-27;17:34:22;2024-09-27;17:58:13;BalOezs4954
21;MXU-541;2;2024-10-05;12:12:20;2024-10-05;12:29:25;labore181
22;RRP-408;1;2024-06-24;04:50:57;2024-06-24;05:47:17;fuga508
23;SWY-031;2;2024-09-26;18:27:52;2024-09-26;18:36:03;et436
24;NLU-774;4;2024-06-13;10:16:50;2024-06-13;11:07:07;Szekeres4677
25;AAAD-020;2;2024-05-08;07:58:38;2024-05-08;08:16:54;dignissimos632
26;AABE-347;2;2024-05-23;16:49:22;2024-05-23;16:50:33;KirOely6455
27;RBW-931;5;2024-10-18;05:52:25;2024-10-20;06:13:05;omnis447
28;AAAD-020;2;2024-05-02;13:53:59;2024-05-04;02:32:34;pariatur257
29;AABA-491;4;2024-08-15;21:36:15;2024-08-15;21:41:30;maxime326
30;MLG-052;4;2024-07-10;00:46:39;2024-07-10;01:15:56;voluptates625
31;TLL-220;2;2024-05-24;17:30:39;2024-05-24;18:11:59;Fazekas9291
32;PJI-886;2;2024-07-01;01:08:04;2024-07-01;01:19:42;nihil310
33;AABD-654;3;2024-09-09;11:38:23;2024-09-09;12:07:57;quo189
34;SNE-565;4;2024-09-18;10:55:06;2024-09-18;11:30:40;GOespOer5718
35;AAAC-412;2;2024-08-28;21:23:57;2024-08-28;21:32:41;Varga6714
36;AABG-248;5;2024-07-15;16:33:18;2024-07-15;16:49:36;sit648
37;AAAE-882;1;2024-07-27;03:49:43;2024-07-27;04:44:40;GulyOes4489
38;TUM-781;5;2024-10-25;10:23:11;2024-10-25;11:18:21;quo189
39;AAAA-940;2;2024-10-21;21:46:42;2024-10-21;22:23:08;iste117
40;RDW-595;3;2024-05-15;05:26:33;2024-05-15;06:26:22;SzilOegyi6624
41;AACN-029;2;2024-09-16;08:50:11;2024-09-16;09:38:38;aut750
42;AAAI-531;2;2024-05-25;19:18:49;2024-05-25;20:03:08;Fazekas9291
43;AACL-259;3;2024-06-16;23:58:56;2024-06-17;00:16:53;KirOely1696
44;PNW-113;3;2024-08-01;14:35:01;2024-08-01;15:08:55;BogdOen5966
45;AACG-741;3;2024-10-04;11:21:21;2024-10-04;11:34:11;HorvOeth5344
46;AACN-225;2;2024-09-28;06:51:56;2024-09-28;07:42:35;LukOecs9593
47;MYJ-047;4;2024-07-30;06:38:09;2024-07-30;06:53:50;Varga6329
48;PSQ-672;4;2024-05-10;12:33:18;2024-05-10;12:36:55;iusto900
49;AACL-774;2;2024-05-22;12:31:20;2024-05-22;13:29:46;VOArOAs4280
50;AABD-654;3;2024-10-05;17:46:45;2024-10-05;17:50:28;saepe923
51;AAAE-101;1;2024-05-15;06:05:45;2024-05-15;06:15:40;JOunOes6268
52;AACC-421;3;2024-06-21;17:15:34;2024-06-21;17:48:28;LukOecs8861
53;ROG-447;5;2024-08-17;02:45:51;2024-08-17;03:32:44;sed709
54;SNX-690;5;2024-06-03;14:10:44;2024-06-03;14:58:51;TamOes5466
55;AAAC-412;2;2024-06-22;12:00:39;2024-06-22;12:59:52;voluptas804
56;AACK-745;5;2024-09-26;01:24:20;2024-09-26;02:01:13;BorbOoly4771
57;MLG-052;4;2024-10-11;09:08:41;2024-10-11;09:34:13;sint211
58;AAAF-583;4;2024-08-20;21:25:18;2024-08-23;02:15:23;ipsa368
59;AABH-197;2;2024-05-05;22:13:49;2024-05-05;22:16:18;et404
60;AAAH-738;2;2024-10-07;05:50:03;2024-10-07;06:41:54;ex789
61;RLE-619;2;2024-10-25;11:24:31;2024-10-25;11:48:10;sapiente252
62;TDW-497;2;2024-07-29;00:52:55;2024-07-31;14:03:50;NOometh6596
63;NLU-774;4;2024-05-14;02:12:53;2024-05-14;02:31:27;HalOesz7034
64;AAAA-940;2;2024-10-03;00:04:15;2024-10-03;00:53:41;veniam823
65;AACD-528;1;2024-07-09;08:52:19;2024-07-09;09:14:26;dolor526
66;PRX-203;1;2024-07-26;23:23:28;2024-07-26;23:45:10;BorbOoly2484
67;NZK-726;4;2024-05-10;19:51:39;2024-05-10;20:00:01;voluptatibus150
68;RRL-246;2;2024-06-04;05:19:08;2024-06-04;06:00:47;Barta5278
69;ROJ-803;4;2024-10-14;08:26:14;2024-10-14;09:24:30;Lakatos6502
70;AAAC-987;1;2024-10-03;15:37:26;2024-10-03;15:48:40;Kerekes6027
71;RDW-595;3;2024-08-06;09:10:03;2024-08-06;09:14:47;LukOecs9593
72;MLG-052;4;2024-09-06;06:53:16;2024-09-06;07:44:08;Jakab7549
73;AABO-735;2;2024-10-11;12:17:03;2024-10-13;19:01:27;magni232
