Gyarto;Tipus;Teljesitmeny;Vegsebesseg;Gumimeret;Hatótav;Rendszam;Gyartasi_ev;Km_ora_allas
VW;e-up!;36;130;165|65-R15;300;AAAH-960;2022;34116
KIA;Niro-EV;65;167;165|65-R17;350;NNB-586;2022;27773
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABA-520;2023;24681
VW;e-up!;18;130;165|65-R15;130;AABM-770;2021;34997
Opel;Vivaro-e;50;192;165|65-R16;320;AABN-321;2021;39917
VW;e-up!;36;130;165|65-R15;300;AAAA-455;2022;30355
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACA-281;2020;44465
KIA;Niro-EV;65;167;165|65-R17;350;PZN-822;2022;31115
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACA-723;2022;27327
KIA;Niro-EV;65;167;165|65-R17;350;AACD-409;2021;30252
VW;e-up!;18;130;165|65-R15;130;MZW-356;2021;36666
VW;e-up!;18;130;165|65-R15;130;AAAG-544;2019;50468
KIA;Niro-EV;65;167;165|65-R17;350;NOV-059;2020;46738
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NZY-775;2023;21856
VW;e-up!;18;130;165|65-R15;130;RUI-819;2022;27075
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABF-533;2020;58516
VW;e-up!;36;130;165|65-R15;300;MXP-974;2020;42570
Skoda;Citigo|e-iV;36;130;165|65-R16;300;NZH-731;2019;55646
KIA;Niro-EV;65;167;165|65-R17;350;AABO-072;2019;51983
KIA;Niro-EV;65;167;165|65-R17;350;RSJ-559;2022;26730
VW;e-up!;18;130;165|65-R15;130;NMR-900;2020;45869
Opel;Vivaro-e;50;192;165|65-R16;320;AACA-271;2020;43657
Skoda;Citigo|e-iV;36;130;165|65-R16;300;NVT-249;2020;58296
Opel;Vivaro-e;50;192;165|65-R16;320;PMT-466;2019;51851
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACJ-040;2021;31067
VW;e-up!;36;130;165|65-R15;300;AACF-297;2022;30591
Opel;Vivaro-e;50;192;165|65-R16;320;AABF-947;2023;24757
VW;e-up!;36;130;165|65-R15;300;AAAC-022;2021;32660
VW;e-up!;36;130;165|65-R15;300;MLJ-840;2021;31604
VW;e-up!;18;130;165|65-R15;130;AACI-289;2021;32149
VW;e-up!;36;130;165|65-R15;300;TTK-126;2022;30609
Skoda;Citigo|e-iV;36;130;165|65-R16;300;MUO-492;2021;31393
VW;e-up!;18;130;165|65-R15;130;REY-060;2020;47925
Opel;Vivaro-e;50;192;165|65-R16;320;AACL-792;2022;34717
VW;e-up!;18;130;165|65-R15;130;AABN-255;2022;34980
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TLX-516;2020;52996
Opel;Vivaro-e;50;192;165|65-R16;320;AACN-239;2023;28837
VW;e-up!;18;130;165|65-R15;130;AACL-362;2019;57974
Opel;Vivaro-e;50;192;165|65-R16;320;TIJ-184;2023;23394
Skoda;Citigo|e-iV;36;130;165|65-R16;300;MXS-548;2023;27550
VW;e-up!;18;130;165|65-R15;130;AACF-360;2023;26713
Opel;Vivaro-e;50;192;165|65-R16;320;PNV-002;2019;52862
VW;e-up!;18;130;165|65-R15;130;SHJ-259;2023;28230
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAB-092;2023;29509
KIA;Niro-EV;65;167;165|65-R17;350;SII-500;2022;34461
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PPP-966;2021;37663
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NCR-455;2022;34374
Skoda;Citigo|e-iV;36;130;165|65-R16;300;RFZ-989;2020;50454
KIA;Niro-EV;65;167;165|65-R17;350;SVO-579;2021;34855
KIA;Niro-EV;65;167;165|65-R17;350;MBO-409;2019;51688
Opel;Vivaro-e;50;192;165|65-R16;320;AABK-436;2020;52147
Opel;Vivaro-e;50;192;165|65-R16;320;AABC-370;2023;25570
Opel;Vivaro-e;50;192;165|65-R16;320;AACF-654;2020;59485
KIA;Niro-EV;65;167;165|65-R17;350;MTJ-472;2021;38070
VW;e-up!;36;130;165|65-R15;300;PHN-536;2019;58423
KIA;Niro-EV;65;167;165|65-R17;350;PGQ-195;2020;55933
KIA;Niro-EV;65;167;165|65-R17;350;MGA-899;2020;54354
VW;e-up!;18;130;165|65-R15;130;AAAF-467;2023;23735
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAD-136;2021;36389
KIA;Niro-EV;65;167;165|65-R17;350;ROF-121;2022;31855
KIA;Niro-EV;65;167;165|65-R17;350;MXH-940;2023;22790
Skoda;Citigo|e-iV;36;130;165|65-R16;300;TQE-752;2022;26343
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABE-206;2022;34805
VW;e-up!;36;130;165|65-R15;300;AACB-493;2022;29784
VW;e-up!;18;130;165|65-R15;130;AAAE-601;2019;51584
Skoda;Citigo|e-iV;36;130;165|65-R16;300;MYW-302;2021;38172
VW;e-up!;18;130;165|65-R15;130;AABI-359;2022;32609
Opel;Vivaro-e;50;192;165|65-R16;320;AACD-429;2022;32523
VW;e-up!;36;130;165|65-R15;300;RBF-993;2020;49397
VW;e-up!;36;130;165|65-R15;300;NAE-924;2023;28290
KIA;Niro-EV;65;167;165|65-R17;350;AACM-736;2019;51090
KIA;Niro-EV;65;167;165|65-R17;350;RUN-903;2020;58976
KIA;Niro-EV;65;167;165|65-R17;350;AABI-600;2021;30261
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABN-061;2019;51258
VW;e-up!;36;130;165|65-R15;300;MBO-051;2021;37240
Opel;Vivaro-e;50;192;165|65-R16;320;AACL-622;2020;50661
Opel;Vivaro-e;50;192;165|65-R16;320;AAAF-692;2019;55746
VW;e-up!;36;130;165|65-R15;300;RRJ-681;2019;59418
Opel;Vivaro-e;50;192;165|65-R16;320;NYD-939;2020;44422
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAK-340;2020;53494
VW;e-up!;18;130;165|65-R15;130;AACC-928;2023;26943
Opel;Vivaro-e;50;192;165|65-R16;320;AAAN-432;2019;51597
VW;e-up!;18;130;165|65-R15;130;AABM-034;2021;36889
VW;e-up!;36;130;165|65-R15;300;AABH-010;2021;31663
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAE-734;2021;37278
Opel;Vivaro-e;50;192;165|65-R16;320;AABH-423;2021;37745
Opel;Vivaro-e;50;192;165|65-R16;320;PPU-788;2022;33058
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NUW-246;2019;56188
VW;e-up!;18;130;165|65-R15;130;PZC-394;2020;53000
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACE-852;2019;54896
VW;e-up!;18;130;165|65-R15;130;AACD-127;2023;27493
KIA;Niro-EV;65;167;165|65-R17;350;MTQ-562;2021;36214
VW;e-up!;36;130;165|65-R15;300;SBR-635;2020;52714
VW;e-up!;18;130;165|65-R15;130;RHM-977;2020;40209
Skoda;Citigo|e-iV;36;130;165|65-R16;300;MQL-424;2022;25590
VW;e-up!;36;130;165|65-R15;300;TKQ-388;2023;25686
Skoda;Citigo|e-iV;36;130;165|65-R16;300;NBN-428;2023;25223
VW;e-up!;36;130;165|65-R15;300;AABC-092;2022;31156
KIA;Niro-EV;65;167;165|65-R17;350;AACN-406;2023;22145
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RRC-841;2020;57154
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACG-426;2022;29573
KIA;Niro-EV;65;167;165|65-R17;350;MDI-665;2021;30238
Skoda;Citigo|e-iV;36;130;165|65-R16;300;PST-597;2021;35540
VW;e-up!;18;130;165|65-R15;130;RBZ-839;2022;26801
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAI-104;2022;32609
Opel;Vivaro-e;50;192;165|65-R16;320;AABF-105;2023;26762
Opel;Vivaro-e;50;192;165|65-R16;320;AACM-844;2023;24017
VW;e-up!;36;130;165|65-R15;300;RUD-944;2023;26273
Opel;Vivaro-e;50;192;165|65-R16;320;PEL-444;2022;30745
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAF-855;2022;31548
Opel;Vivaro-e;50;192;165|65-R16;320;NQR-553;2019;59442
VW;e-up!;18;130;165|65-R15;130;SIH-807;2019;57724
VW;e-up!;36;130;165|65-R15;300;PUJ-378;2019;55976
VW;e-up!;36;130;165|65-R15;300;AAAF-639;2019;57905
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABO-102;2022;32906
VW;e-up!;18;130;165|65-R15;130;PNV-960;2022;33637
Opel;Vivaro-e;50;192;165|65-R16;320;AACE-223;2021;36825
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MAE-481;2023;20860
Opel;Vivaro-e;50;192;165|65-R16;320;AACB-495;2021;34493
Skoda;Citigo|e-iV;36;130;165|65-R16;300;RBR-737;2023;26663
KIA;Niro-EV;65;167;165|65-R17;350;AABH-131;2022;32523
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACA-170;2019;58284
VW;e-up!;36;130;165|65-R15;300;PGD-899;2023;26172
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAC-305;2019;59653
VW;e-up!;36;130;165|65-R15;300;AAAN-353;2020;47764
VW;e-up!;36;130;165|65-R15;300;AABC-716;2021;34038
Opel;Vivaro-e;50;192;165|65-R16;320;RKN-427;2022;26879
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABD-421;2020;41996
Opel;Vivaro-e;50;192;165|65-R16;320;AABF-847;2019;51435
KIA;Niro-EV;65;167;165|65-R17;350;AAAB-315;2020;57638
KIA;Niro-EV;65;167;165|65-R17;350;AAAB-582;2020;50370
VW;e-up!;18;130;165|65-R15;130;AAAC-057;2023;21896
KIA;Niro-EV;65;167;165|65-R17;350;MAS-326;2020;40618
Opel;Vivaro-e;50;192;165|65-R16;320;PHA-080;2021;37712
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;THF-765;2019;59473
KIA;Niro-EV;65;167;165|65-R17;350;TKI-640;2020;54519
Skoda;Citigo|e-iV;36;130;165|65-R16;300;RXM-591;2023;27679
VW;e-up!;36;130;165|65-R15;300;AAAI-435;2023;29508
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACA-413;2022;29775
VW;e-up!;36;130;165|65-R15;300;PUK-033;2021;36077
KIA;Niro-EV;65;167;165|65-R17;350;SRQ-393;2020;41972
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RUK-983;2019;53300
Skoda;Citigo|e-iV;36;130;165|65-R16;300;PGE-139;2023;25680
KIA;Niro-EV;65;167;165|65-R17;350;AACG-393;2020;42789
KIA;Niro-EV;65;167;165|65-R17;350;RQO-222;2019;51551
VW;e-up!;36;130;165|65-R15;300;AAAK-797;2022;34922
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACO-738;2022;34567
VW;e-up!;36;130;165|65-R15;300;TYO-499;2021;38390
Skoda;Citigo|e-iV;36;130;165|65-R16;300;NFD-570;2019;52235
Opel;Vivaro-e;50;192;165|65-R16;320;SDG-235;2020;54652
KIA;Niro-EV;65;167;165|65-R17;350;AACM-143;2019;50596
VW;e-up!;18;130;165|65-R15;130;MEK-343;2019;52816
Skoda;Citigo|e-iV;36;130;165|65-R16;300;THE-101;2020;55186
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABM-146;2019;55376
VW;e-up!;36;130;165|65-R15;300;RED-584;2020;46623
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RKD-656;2019;50390
KIA;Niro-EV;65;167;165|65-R17;350;AAAA-343;2019;54344
KIA;Niro-EV;65;167;165|65-R17;350;NKY-831;2022;27028
VW;e-up!;18;130;165|65-R15;130;AACO-267;2020;44979
KIA;Niro-EV;65;167;165|65-R17;350;MOH-274;2021;37496
Opel;Vivaro-e;50;192;165|65-R16;320;AAAK-846;2020;44198
VW;e-up!;18;130;165|65-R15;130;SIN-572;2023;22003
Opel;Vivaro-e;50;192;165|65-R16;320;AAAN-082;2020;47558
VW;e-up!;36;130;165|65-R15;300;AABE-043;2020;54389
VW;e-up!;36;130;165|65-R15;300;AAAC-621;2019;56206
KIA;Niro-EV;65;167;165|65-R17;350;AABC-105;2023;28979
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACC-150;2019;51404
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NCL-661;2022;29634
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TZD-010;2019;56366
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAC-691;2023;29875
VW;e-up!;18;130;165|65-R15;130;AAAH-337;2020;49341
VW;e-up!;36;130;165|65-R15;300;AAAE-627;2020;44458
VW;e-up!;36;130;165|65-R15;300;AABA-510;2023;28713
VW;e-up!;18;130;165|65-R15;130;RZI-050;2021;33809
Opel;Vivaro-e;50;192;165|65-R16;320;AABL-978;2020;46742
VW;e-up!;36;130;165|65-R15;300;AABG-358;2023;28736
Opel;Vivaro-e;50;192;165|65-R16;320;TSM-484;2021;32977
Skoda;Citigo|e-iV;36;130;165|65-R16;300;RLC-834;2020;53759
VW;e-up!;18;130;165|65-R15;130;AAAL-088;2020;54809
VW;e-up!;18;130;165|65-R15;130;AABL-961;2022;33921
VW;e-up!;36;130;165|65-R15;300;AACN-275;2022;26807
VW;e-up!;36;130;165|65-R15;300;TXT-233;2019;52149
KIA;Niro-EV;65;167;165|65-R17;350;AAAN-578;2019;56949
KIA;Niro-EV;65;167;165|65-R17;350;TOH-467;2023;26116
Skoda;Citigo|e-iV;36;130;165|65-R16;300;TIV-554;2021;32469
Opel;Vivaro-e;50;192;165|65-R16;320;AABE-767;2022;25304
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TAZ-405;2023;25056
KIA;Niro-EV;65;167;165|65-R17;350;TSE-052;2021;31759
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACN-481;2021;37680
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAF-920;2019;51157
Skoda;Citigo|e-iV;36;130;165|65-R16;300;TMP-025;2022;33658
Opel;Vivaro-e;50;192;165|65-R16;320;MUV-048;2019;54887
KIA;Niro-EV;65;167;165|65-R17;350;AACC-245;2021;36611
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAE-193;2022;33611
KIA;Niro-EV;65;167;165|65-R17;350;NOS-142;2021;35665
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACN-477;2021;38531
Opel;Vivaro-e;50;192;165|65-R16;320;MCJ-506;2021;32352
KIA;Niro-EV;65;167;165|65-R17;350;AABB-097;2023;25182
KIA;Niro-EV;65;167;165|65-R17;350;AAAD-490;2023;21151
VW;e-up!;18;130;165|65-R15;130;AACO-026;2021;37368
VW;e-up!;18;130;165|65-R15;130;AACI-250;2021;34878
KIA;Niro-EV;65;167;165|65-R17;350;MJT-533;2022;34962
Opel;Vivaro-e;50;192;165|65-R16;320;NQJ-529;2023;24601
KIA;Niro-EV;65;167;165|65-R17;350;AAAA-563;2020;46228
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACI-171;2023;25539
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABF-759;2019;57025
VW;e-up!;36;130;165|65-R15;300;SKT-702;2021;39452
KIA;Niro-EV;65;167;165|65-R17;350;SEA-595;2022;27588
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PCO-697;2022;26973
VW;e-up!;18;130;165|65-R15;130;AABL-112;2023;26888
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TVE-992;2023;25466
Opel;Vivaro-e;50;192;165|65-R16;320;PKB-065;2019;58902
VW;e-up!;36;130;165|65-R15;300;PAK-518;2022;27617
VW;e-up!;36;130;165|65-R15;300;MWD-576;2023;29080
VW;e-up!;36;130;165|65-R15;300;TQT-658;2020;55982
Opel;Vivaro-e;50;192;165|65-R16;320;AABL-585;2022;31392
VW;e-up!;36;130;165|65-R15;300;AAAN-526;2021;34870
VW;e-up!;18;130;165|65-R15;130;RQY-907;2022;34912
VW;e-up!;36;130;165|65-R15;300;AACD-891;2023;24657
VW;e-up!;36;130;165|65-R15;300;TCW-026;2020;53491
Skoda;Citigo|e-iV;36;130;165|65-R16;300;RYY-577;2019;51294
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NDO-107;2022;33471
VW;e-up!;36;130;165|65-R15;300;PPT-180;2021;31129
Skoda;Citigo|e-iV;36;130;165|65-R16;300;MYM-214;2019;51193
VW;e-up!;18;130;165|65-R15;130;NUH-549;2020;53016
Skoda;Citigo|e-iV;36;130;165|65-R16;300;TXW-590;2023;24501
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACM-366;2023;21928
VW;e-up!;18;130;165|65-R15;130;AAAN-120;2022;27706
KIA;Niro-EV;65;167;165|65-R17;350;RXF-052;2020;42454
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PTM-495;2019;53047
VW;e-up!;36;130;165|65-R15;300;AABC-346;2020;43535
Opel;Vivaro-e;50;192;165|65-R16;320;AABK-610;2023;24368
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAC-062;2019;55032
VW;e-up!;36;130;165|65-R15;300;AAAB-451;2021;30168
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABE-317;2021;37129
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RRR-156;2022;25104
Opel;Vivaro-e;50;192;165|65-R16;320;AABI-322;2022;28444
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABO-435;2023;26967
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TPN-338;2019;55168
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TGV-939;2020;50036
KIA;Niro-EV;65;167;165|65-R17;350;MPE-661;2021;37115
VW;e-up!;36;130;165|65-R15;300;MJZ-805;2019;57524
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAL-208;2023;26436
VW;e-up!;18;130;165|65-R15;130;AACA-253;2022;32003
KIA;Niro-EV;65;167;165|65-R17;350;AAAF-711;2020;52693
KIA;Niro-EV;65;167;165|65-R17;350;AABA-657;2023;24902
Skoda;Citigo|e-iV;36;130;165|65-R16;300;TRQ-010;2020;48364
VW;e-up!;36;130;165|65-R15;300;PCX-568;2021;38006
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACB-170;2019;59311
Opel;Vivaro-e;50;192;165|65-R16;320;AAAB-160;2023;22508
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAE-495;2020;50928
KIA;Niro-EV;65;167;165|65-R17;350;AAAM-167;2023;27264
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NXG-189;2023;27248
VW;e-up!;36;130;165|65-R15;300;AAAD-189;2023;23060
VW;e-up!;18;130;165|65-R15;130;AAAH-474;2021;30686
