Gyarto;Tipus;Teljesitmeny;Vegsebesseg;Gumimeret;Hatótav;Rendszam;Gyartasi_ev;Km_ora_allas
KIA;Niro-EV;65;167;165|65-R17;350;PFS-837;2022;25090
KIA;Niro-EV;65;167;165|65-R17;350;TPP-348;2019;55695
VW;e-up!;36;130;165|65-R15;300;RDM-160;2023;28209
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACE-006;2023;25604
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABA-274;2021;31239
VW;e-up!;36;130;165|65-R15;300;AACE-980;2023;27491
VW;e-up!;36;130;165|65-R15;300;AABF-026;2022;25690
Skoda;Citigo-e-iV;36;130;165|65-R16;300;RDI-926;2023;23583
VW;e-up!;18;130;165|65-R15;130;MWB-726;2023;28074
VW;e-up!;36;130;165|65-R15;300;AABN-667;2022;27701
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SKE-505;2022;25322
VW;e-up!;18;130;165|65-R15;130;TYR-878;2019;57012
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAN-883;2021;33245
KIA;Niro-EV;65;167;165|65-R17;350;NRJ-080;2019;55427
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACB-424;2019;56270
Opel;Vivaro-e;50;192;165|65-R16;320;TPY-212;2021;33504
Opel;Vivaro-e;50;192;165|65-R16;320;AABD-898;2019;59638
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SZI-604;2019;56605
Skoda;Citigo-e-iV;36;130;165|65-R16;300;SQT-731;2021;37774
KIA;Niro-EV;65;167;165|65-R17;350;MMI-959;2020;58788
Skoda;Citigo-e-iV;36;130;165|65-R16;300;NKD-133;2019;51794
VW;e-up!;18;130;165|65-R15;130;AABD-869;2020;53320
VW;e-up!;18;130;165|65-R15;130;AAAH-500;2019;59315
VW;e-up!;36;130;165|65-R15;300;NHG-328;2019;50630
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAK-350;2022;30113
VW;e-up!;36;130;165|65-R15;300;AAAI-920;2021;30598
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABM-294;2020;53629
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TLE-592;2022;33527
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NNE-801;2020;55835
VW;e-up!;36;130;165|65-R15;300;AABL-773;2019;54425
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAL-538;2021;37948
KIA;Niro-EV;65;167;165|65-R17;350;AAAD-673;2019;55616
Skoda;Citigo-e-iV;36;130;165|65-R16;300;RMY-711;2021;31374
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SEM-489;2023;27611
Opel;Vivaro-e;50;192;165|65-R16;320;RSQ-841;2023;20591
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABC-274;2021;30575
VW;e-up!;36;130;165|65-R15;300;AACH-675;2023;23786
VW;e-up!;36;130;165|65-R15;300;SDC-626;2020;49587
VW;e-up!;36;130;165|65-R15;300;SCM-450;2021;38775
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAM-290;2019;55496
KIA;Niro-EV;65;167;165|65-R17;350;SQP-489;2019;50008
KIA;Niro-EV;65;167;165|65-R17;350;MRM-996;2023;26258
Opel;Vivaro-e;50;192;165|65-R16;320;AAAB-657;2022;30247
KIA;Niro-EV;65;167;165|65-R17;350;AABH-611;2020;53171
Opel;Vivaro-e;50;192;165|65-R16;320;SBX-250;2023;26883
Opel;Vivaro-e;50;192;165|65-R16;320;AABN-139;2019;54296
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TGO-389;2022;29181
VW;e-up!;18;130;165|65-R15;130;PVW-677;2022;31795
VW;e-up!;18;130;165|65-R15;130;AABI-211;2022;34767
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NXL-935;2020;45640
VW;e-up!;36;130;165|65-R15;300;AAAJ-763;2023;23101
VW;e-up!;36;130;165|65-R15;300;AABG-473;2019;55994
VW;e-up!;36;130;165|65-R15;300;RHM-194;2023;26689
VW;e-up!;36;130;165|65-R15;300;AABF-500;2020;49770
VW;e-up!;36;130;165|65-R15;300;SBT-973;2023;23309
Opel;Vivaro-e;50;192;165|65-R16;320;PRX-835;2021;33312
VW;e-up!;36;130;165|65-R15;300;SGS-037;2021;38818
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAN-051;2020;50211
KIA;Niro-EV;65;167;165|65-R17;350;AABI-467;2022;28112
VW;e-up!;18;130;165|65-R15;130;PJP-081;2020;46222
VW;e-up!;18;130;165|65-R15;130;MRE-210;2019;53228
VW;e-up!;36;130;165|65-R15;300;TWY-332;2021;32494
Opel;Vivaro-e;50;192;165|65-R16;320;AAAN-676;2019;51367
VW;e-up!;36;130;165|65-R15;300;TRO-233;2019;58282
VW;e-up!;18;130;165|65-R15;130;TVJ-857;2022;31301
Opel;Vivaro-e;50;192;165|65-R16;320;SJI-729;2021;32973
KIA;Niro-EV;65;167;165|65-R17;350;AAAJ-979;2019;51088
Opel;Vivaro-e;50;192;165|65-R16;320;TYH-973;2019;50564
KIA;Niro-EV;65;167;165|65-R17;350;TGB-607;2022;29437
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABB-736;2022;31714
VW;e-up!;18;130;165|65-R15;130;NDN-728;2021;37983
Opel;Vivaro-e;50;192;165|65-R16;320;NGX-400;2023;26784
Skoda;Citigo-e-iV;36;130;165|65-R16;300;SXA-696;2023;20562
Opel;Vivaro-e;50;192;165|65-R16;320;AACG-320;2020;50254
Opel;Vivaro-e;50;192;165|65-R16;320;SNG-284;2022;32577
KIA;Niro-EV;65;167;165|65-R17;350;NNS-483;2023;20529
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAF-007;2020;42896
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACM-258;2022;25468
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TAI-476;2023;26987
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABJ-577;2019;51795
VW;e-up!;18;130;165|65-R15;130;AACA-993;2021;36186
VW;e-up!;18;130;165|65-R15;130;AABD-746;2019;53137
KIA;Niro-EV;65;167;165|65-R17;350;AACE-620;2022;29407
VW;e-up!;18;130;165|65-R15;130;RIQ-974;2023;22854
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NYC-298;2019;52999
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SRO-900;2020;45669
Opel;Vivaro-e;50;192;165|65-R16;320;SPW-073;2021;39981
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABM-789;2023;20732
Opel;Vivaro-e;50;192;165|65-R16;320;AACI-294;2019;50890
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NNC-421;2019;55800
VW;e-up!;18;130;165|65-R15;130;RVF-893;2023;20856
Opel;Vivaro-e;50;192;165|65-R16;320;PLG-125;2021;35738
VW;e-up!;36;130;165|65-R15;300;REJ-679;2021;34918
VW;e-up!;18;130;165|65-R15;130;AABC-325;2021;35784
KIA;Niro-EV;65;167;165|65-R17;350;NHH-366;2020;51738
KIA;Niro-EV;65;167;165|65-R17;350;RAC-971;2021;31702
VW;e-up!;36;130;165|65-R15;300;NKJ-577;2021;30068
VW;e-up!;18;130;165|65-R15;130;RJS-490;2022;28150
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACG-605;2023;24874
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAG-638;2022;27394
KIA;Niro-EV;65;167;165|65-R17;350;TCO-952;2021;39095
Opel;Vivaro-e;50;192;165|65-R16;320;AAAC-153;2021;34018
Opel;Vivaro-e;50;192;165|65-R16;320;SIU-620;2021;39575
Opel;Vivaro-e;50;192;165|65-R16;320;NWC-662;2022;28531
Opel;Vivaro-e;50;192;165|65-R16;320;AAAO-258;2019;56935
Opel;Vivaro-e;50;192;165|65-R16;320;SZT-748;2019;55764
VW;e-up!;36;130;165|65-R15;300;AABM-168;2022;29573
VW;e-up!;36;130;165|65-R15;300;NXG-961;2021;31689
KIA;Niro-EV;65;167;165|65-R17;350;NDC-286;2022;33744
VW;e-up!;18;130;165|65-R15;130;AAAB-212;2021;30503
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PND-857;2023;26754
VW;e-up!;18;130;165|65-R15;130;AABA-393;2019;59812
