Rendszam;Tipus;Besorolas
PFS-837;Niro-EV;5
TPP-348;Niro-EV;5
RDM-160;e-up!;2
AACE-006;Kangoo-Z.E.;3
AABA-274;Kangoo-Z.E.;3
AACE-980;e-up!;2
AABF-026;e-up!;2
RDI-926;Citigo-e-iV;2
MWB-726;e-up!;1
AABN-667;e-up!;2
SKE-505;Kangoo-Z.E.;3
TYR-878;e-up!;1
AAAN-883;Kangoo-Z.E.;3
NRJ-080;Niro-EV;5
AACB-424;Citigo-e-iV;2
TPY-212;Vivaro-e;4
AABD-898;Vivaro-e;4
SZI-604;Kangoo-Z.E.;3
SQT-731;Citigo-e-iV;2
MMI-959;Niro-EV;5
NKD-133;Citigo-e-iV;2
AABD-869;e-up!;1
AAAH-500;e-up!;1
NHG-328;e-up!;2
AAAK-350;Citigo-e-iV;2
AAAI-920;e-up!;2
AABM-294;Citigo-e-iV;2
TLE-592;Kangoo-Z.E.;3
NNE-801;Kangoo-Z.E.;3
AABL-773;e-up!;2
AAAL-538;Kangoo-Z.E.;3
AAAD-673;Niro-EV;5
RMY-711;Citigo-e-iV;2
SEM-489;Kangoo-Z.E.;3
RSQ-841;Vivaro-e;4
AABC-274;Citigo-e-iV;2
AACH-675;e-up!;2
SDC-626;e-up!;2
SCM-450;e-up!;2
AAAM-290;Kangoo-Z.E.;3
SQP-489;Niro-EV;5
MRM-996;Niro-EV;5
AAAB-657;Vivaro-e;4
AABH-611;Niro-EV;5
SBX-250;Vivaro-e;4
AABN-139;Vivaro-e;4
TGO-389;Kangoo-Z.E.;3
PVW-677;e-up!;1
AABI-211;e-up!;1
NXL-935;Kangoo-Z.E.;3
AAAJ-763;e-up!;2
AABG-473;e-up!;2
RHM-194;e-up!;2
AABF-500;e-up!;2
SBT-973;e-up!;2
PRX-835;Vivaro-e;4
SGS-037;e-up!;2
AAAN-051;Citigo-e-iV;2
AABI-467;Niro-EV;5
PJP-081;e-up!;1
MRE-210;e-up!;1
TWY-332;e-up!;2
AAAN-676;Vivaro-e;4
TRO-233;e-up!;2
TVJ-857;e-up!;1
SJI-729;Vivaro-e;4
AAAJ-979;Niro-EV;5
TYH-973;Vivaro-e;4
TGB-607;Niro-EV;5
AABB-736;Citigo-e-iV;2
NDN-728;e-up!;1
NGX-400;Vivaro-e;4
SXA-696;Citigo-e-iV;2
AACG-320;Vivaro-e;4
SNG-284;Vivaro-e;4
NNS-483;Niro-EV;5
AAAF-007;Kangoo-Z.E.;3
AACM-258;Kangoo-Z.E.;3
TAI-476;Citigo-e-iV;2
AABJ-577;Kangoo-Z.E.;3
AACA-993;e-up!;1
AABD-746;e-up!;1
AACE-620;Niro-EV;5
RIQ-974;e-up!;1
NYC-298;Kangoo-Z.E.;3
SRO-900;Kangoo-Z.E.;3
SPW-073;Vivaro-e;4
AABM-789;Citigo-e-iV;2
AACI-294;Vivaro-e;4
NNC-421;Kangoo-Z.E.;3
RVF-893;e-up!;1
PLG-125;Vivaro-e;4
REJ-679;e-up!;2
AABC-325;e-up!;1
NHH-366;Niro-EV;5
RAC-971;Niro-EV;5
NKJ-577;e-up!;2
RJS-490;e-up!;1
AACG-605;Citigo-e-iV;2
AAAG-638;Kangoo-Z.E.;3
TCO-952;Niro-EV;5
AAAC-153;Vivaro-e;4
SIU-620;Vivaro-e;4
NWC-662;Vivaro-e;4
AAAO-258;Vivaro-e;4
