Berles_id;Rendszam;Kat_besorolas;Berles_kezd_ev_ho_nap;Berles_kezd_ora_perc_mp;Berles_vege_ev_ho_nap;Berles_vege_ora_perc_mp;Felh_nev
1;RIJ-649;4;2024-09-26;08:10:54;2024-09-26;09:07:36;laudantium729
2;AAAJ-538;4;2023-01-04;17:32:27;2023-01-04;18:18:41;Balogh8783
3;AABM-276;4;2023-09-06;21:55:41;2023-09-06;22:44:33;BognOer5071
4;AAAN-883;3;2024-09-16;17:44:38;2024-09-16;17:53:58;GOel1191
5;AACJ-440;2;2023-01-20;02:54:56;2023-01-20;03:09:24;Veres9502
6;TPP-348;5;2022-11-26;23:46:39;2022-11-27;00:39:53;pariatur116
7;SXS-578;2;2024-09-26;05:53:27;2024-09-26;06:36:18;Szekeres2181
8;MDP-848;2;2023-09-08;14:47:13;2023-09-08;14:55:02;Kis5461
9;AAAD-686;5;2023-09-20;22:01:26;2023-09-20;22:49:22;dolorum762
10;AAAB-417;3;2023-03-08;02:02:26;2023-03-08;02:55:13;Magyar5927
11;RSQ-841;4;2023-08-15;15:16:42;2023-08-15;15:26:53;quia518
12;AACH-141;2;2023-07-22;10:42:09;2023-07-22;11:16:05;enim934
13;AACM-258;3;2023-09-29;01:35:20;2023-09-29;02:29:55;fugiat484
14;PND-857;2;2024-05-24;22:28:00;2024-05-26;02:30:47;eaque692
15;NQR-536;2;2023-03-19;19:35:02;2023-03-22;17:03:45;quidem801
16;TDV-496;2;2023-01-17;19:57:58;2023-01-17;20:02:42;POesztor8328
17;TTN-425;2;2023-01-28;13:17:35;2023-01-28;13:27:43;amet521
18;PLU-850;1;2023-02-18;02:52:47;2023-02-18;03:34:44;alias255
19;SPG-713;5;2023-11-18;06:25:00;2023-11-20;12:03:44;assumenda317
20;RZK-699;5;2024-07-26;13:24:19;2024-07-26;13:28:37;Balog3135
21;SWK-203;1;2022-10-29;02:40:18;2022-10-29;03:17:51;Balla2455
22;MLJ-613;3;2024-09-09;10:31:43;2024-09-09;11:01:28;OlOeh6433
23;RNE-523;4;2023-01-16;22:16:35;2023-01-16;22:20:49;SzUIke2168
24;MGW-766;3;2024-10-16;23:57:19;2024-10-17;00:47:19;libero884
25;THB-198;5;2023-10-19;22:06:02;2023-10-19;23:03:03;VirOeg1691
26;AACE-620;5;2024-01-26;15:41:54;2024-01-27;20:27:23;Jakab4975
