Rendszam;Tipus;Besorolas
AAAH-960;e-up!;2
NNB-586;Niro-EV;5
AABA-520;Citigo|e-iV;2
AABM-770;e-up!;1
AABN-321;Vivaro-e;4
AAAA-455;e-up!;2
AACA-281;Kangoo-Z.E.;3
PZN-822;Niro-EV;5
AACA-723;Kangoo-Z.E.;3
AACD-409;Niro-EV;5
MZW-356;e-up!;1
AAAG-544;e-up!;1
NOV-059;Niro-EV;5
NZY-775;Kangoo-Z.E.;3
RUI-819;e-up!;1
AABF-533;Citigo|e-iV;2
MXP-974;e-up!;2
NZH-731;Citigo|e-iV;2
AABO-072;Niro-EV;5
RSJ-559;Niro-EV;5
NMR-900;e-up!;1
AACA-271;Vivaro-e;4
NVT-249;Citigo|e-iV;2
PMT-466;Vivaro-e;4
AACJ-040;Citigo|e-iV;2
AACF-297;e-up!;2
AABF-947;Vivaro-e;4
AAAC-022;e-up!;2
MLJ-840;e-up!;2
AACI-289;e-up!;1
TTK-126;e-up!;2
MUO-492;Citigo|e-iV;2
REY-060;e-up!;1
AACL-792;Vivaro-e;4
AABN-255;e-up!;1
TLX-516;Kangoo-Z.E.;3
AACN-239;Vivaro-e;4
AACL-362;e-up!;1
TIJ-184;Vivaro-e;4
MXS-548;Citigo|e-iV;2
AACF-360;e-up!;1
PNV-002;Vivaro-e;4
SHJ-259;e-up!;1
AAAB-092;Kangoo-Z.E.;3
SII-500;Niro-EV;5
PPP-966;Kangoo-Z.E.;3
NCR-455;Kangoo-Z.E.;3
RFZ-989;Citigo|e-iV;2
SVO-579;Niro-EV;5
MBO-409;Niro-EV;5
AABK-436;Vivaro-e;4
AABC-370;Vivaro-e;4
AACF-654;Vivaro-e;4
MTJ-472;Niro-EV;5
PHN-536;e-up!;2
PGQ-195;Niro-EV;5
MGA-899;Niro-EV;5
AAAF-467;e-up!;1
AAAD-136;Kangoo-Z.E.;3
ROF-121;Niro-EV;5
MXH-940;Niro-EV;5
TQE-752;Citigo|e-iV;2
AABE-206;Citigo|e-iV;2
AACB-493;e-up!;2
AAAE-601;e-up!;1
MYW-302;Citigo|e-iV;2
AABI-359;e-up!;1
AACD-429;Vivaro-e;4
RBF-993;e-up!;2
NAE-924;e-up!;2
AACM-736;Niro-EV;5
RUN-903;Niro-EV;5
AABI-600;Niro-EV;5
AABN-061;Citigo|e-iV;2
MBO-051;e-up!;2
AACL-622;Vivaro-e;4
AAAF-692;Vivaro-e;4
RRJ-681;e-up!;2
NYD-939;Vivaro-e;4
AAAK-340;Citigo|e-iV;2
AACC-928;e-up!;1
AAAN-432;Vivaro-e;4
AABM-034;e-up!;1
AABH-010;e-up!;2
AAAE-734;Citigo|e-iV;2
AABH-423;Vivaro-e;4
PPU-788;Vivaro-e;4
NUW-246;Kangoo-Z.E.;3
PZC-394;e-up!;1
AACE-852;Kangoo-Z.E.;3
AACD-127;e-up!;1
MTQ-562;Niro-EV;5
SBR-635;e-up!;2
RHM-977;e-up!;1
MQL-424;Citigo|e-iV;2
TKQ-388;e-up!;2
NBN-428;Citigo|e-iV;2
AABC-092;e-up!;2
AACN-406;Niro-EV;5
RRC-841;Kangoo-Z.E.;3
AACG-426;Citigo|e-iV;2
MDI-665;Niro-EV;5
PST-597;Citigo|e-iV;2
RBZ-839;e-up!;1
AAAI-104;Citigo|e-iV;2
AABF-105;Vivaro-e;4
AACM-844;Vivaro-e;4
RUD-944;e-up!;2
PEL-444;Vivaro-e;4
AAAF-855;Kangoo-Z.E.;3
NQR-553;Vivaro-e;4
SIH-807;e-up!;1
PUJ-378;e-up!;2
AAAF-639;e-up!;2
AABO-102;Kangoo-Z.E.;3
PNV-960;e-up!;1
AACE-223;Vivaro-e;4
MAE-481;Kangoo-Z.E.;3
AACB-495;Vivaro-e;4
RBR-737;Citigo|e-iV;2
AABH-131;Niro-EV;5
AACA-170;Kangoo-Z.E.;3
PGD-899;e-up!;2
AAAC-305;Kangoo-Z.E.;3
AAAN-353;e-up!;2
AABC-716;e-up!;2
RKN-427;Vivaro-e;4
AABD-421;Kangoo-Z.E.;3
AABF-847;Vivaro-e;4
AAAB-315;Niro-EV;5
AAAB-582;Niro-EV;5
AAAC-057;e-up!;1
MAS-326;Niro-EV;5
PHA-080;Vivaro-e;4
THF-765;Kangoo-Z.E.;3
TKI-640;Niro-EV;5
RXM-591;Citigo|e-iV;2
AAAI-435;e-up!;2
AACA-413;Kangoo-Z.E.;3
PUK-033;e-up!;2
SRQ-393;Niro-EV;5
RUK-983;Kangoo-Z.E.;3
PGE-139;Citigo|e-iV;2
AACG-393;Niro-EV;5
RQO-222;Niro-EV;5
AAAK-797;e-up!;2
AACO-738;Citigo|e-iV;2
TYO-499;e-up!;2
NFD-570;Citigo|e-iV;2
SDG-235;Vivaro-e;4
AACM-143;Niro-EV;5
MEK-343;e-up!;1
THE-101;Citigo|e-iV;2
AABM-146;Citigo|e-iV;2
RED-584;e-up!;2
RKD-656;Kangoo-Z.E.;3
AAAA-343;Niro-EV;5
NKY-831;Niro-EV;5
AACO-267;e-up!;1
MOH-274;Niro-EV;5
AAAK-846;Vivaro-e;4
SIN-572;e-up!;1
AAAN-082;Vivaro-e;4
AABE-043;e-up!;2
AAAC-621;e-up!;2
AABC-105;Niro-EV;5
AACC-150;Kangoo-Z.E.;3
NCL-661;Kangoo-Z.E.;3
TZD-010;Kangoo-Z.E.;3
AAAC-691;Kangoo-Z.E.;3
AAAH-337;e-up!;1
AAAE-627;e-up!;2
AABA-510;e-up!;2
RZI-050;e-up!;1
AABL-978;Vivaro-e;4
AABG-358;e-up!;2
TSM-484;Vivaro-e;4
RLC-834;Citigo|e-iV;2
AAAL-088;e-up!;1
AABL-961;e-up!;1
AACN-275;e-up!;2
TXT-233;e-up!;2
AAAN-578;Niro-EV;5
TOH-467;Niro-EV;5
TIV-554;Citigo|e-iV;2
AABE-767;Vivaro-e;4
TAZ-405;Kangoo-Z.E.;3
TSE-052;Niro-EV;5
AACN-481;Citigo|e-iV;2
AAAF-920;Kangoo-Z.E.;3
TMP-025;Citigo|e-iV;2
MUV-048;Vivaro-e;4
AACC-245;Niro-EV;5
AAAE-193;Kangoo-Z.E.;3
NOS-142;Niro-EV;5
AACN-477;Citigo|e-iV;2
MCJ-506;Vivaro-e;4
AABB-097;Niro-EV;5
AAAD-490;Niro-EV;5
AACO-026;e-up!;1
AACI-250;e-up!;1
MJT-533;Niro-EV;5
NQJ-529;Vivaro-e;4
AAAA-563;Niro-EV;5
AACI-171;Citigo|e-iV;2
AABF-759;Kangoo-Z.E.;3
SKT-702;e-up!;2
SEA-595;Niro-EV;5
PCO-697;Kangoo-Z.E.;3
AABL-112;e-up!;1
TVE-992;Kangoo-Z.E.;3
PKB-065;Vivaro-e;4
PAK-518;e-up!;2
MWD-576;e-up!;2
TQT-658;e-up!;2
AABL-585;Vivaro-e;4
AAAN-526;e-up!;2
RQY-907;e-up!;1
AACD-891;e-up!;2
TCW-026;e-up!;2
RYY-577;Citigo|e-iV;2
NDO-107;Kangoo-Z.E.;3
PPT-180;e-up!;2
MYM-214;Citigo|e-iV;2
NUH-549;e-up!;1
TXW-590;Citigo|e-iV;2
AACM-366;Citigo|e-iV;2
AAAN-120;e-up!;1
RXF-052;Niro-EV;5
PTM-495;Kangoo-Z.E.;3
AABC-346;e-up!;2
AABK-610;Vivaro-e;4
AAAC-062;Citigo|e-iV;2
AAAB-451;e-up!;2
AABE-317;Kangoo-Z.E.;3
RRR-156;Kangoo-Z.E.;3
AABI-322;Vivaro-e;4
AABO-435;Kangoo-Z.E.;3
TPN-338;Kangoo-Z.E.;3
TGV-939;Kangoo-Z.E.;3
MPE-661;Niro-EV;5
MJZ-805;e-up!;2
AAAL-208;Citigo|e-iV;2
AACA-253;e-up!;1
AAAF-711;Niro-EV;5
AABA-657;Niro-EV;5
TRQ-010;Citigo|e-iV;2
PCX-568;e-up!;2
AACB-170;Kangoo-Z.E.;3
AAAB-160;Vivaro-e;4
AAAE-495;Citigo|e-iV;2
AAAM-167;Niro-EV;5
NXG-189;Kangoo-Z.E.;3
AAAD-189;e-up!;2
AAAH-474;e-up!;1
NDL-237;e-up!;1
MXK-965;e-up!;2
AAAN-743;e-up!;1
AACK-628;Citigo|e-iV;2
SMH-860;Vivaro-e;4
PUG-348;Kangoo-Z.E.;3
PYG-442;e-up!;1
SQU-434;Citigo|e-iV;2
AABI-729;Citigo|e-iV;2
MIO-308;Kangoo-Z.E.;3
TDX-159;Niro-EV;5
AABF-813;Vivaro-e;4
PDC-723;Kangoo-Z.E.;3
NXJ-997;Citigo|e-iV;2
NEK-809;Kangoo-Z.E.;3
TNJ-946;Kangoo-Z.E.;3
MKP-918;e-up!;2
MMX-864;e-up!;2
PYG-553;Vivaro-e;4
RKX-312;Kangoo-Z.E.;3
AAAC-513;Vivaro-e;4
MPZ-332;Niro-EV;5
PDF-111;Niro-EV;5
AACK-665;Citigo|e-iV;2
AABC-634;e-up!;2
AABF-848;Citigo|e-iV;2
NLB-978;Niro-EV;5
AAAA-941;Niro-EV;5
PAV-447;Vivaro-e;4
TZP-206;e-up!;2
AAAB-833;Kangoo-Z.E.;3
NSI-198;e-up!;2
SND-659;e-up!;1
MPQ-926;Citigo|e-iV;2
SUX-953;Niro-EV;5
AAAO-807;Vivaro-e;4
MFG-911;Citigo|e-iV;2
SXE-900;Kangoo-Z.E.;3
AACL-130;Citigo|e-iV;2
AAAI-092;Niro-EV;5
AABO-865;e-up!;2
SQP-750;e-up!;1
MHQ-869;Kangoo-Z.E.;3
TET-406;Niro-EV;5
AAAL-242;Citigo|e-iV;2
MQP-904;Vivaro-e;4
AAAJ-456;e-up!;1
AACB-333;Niro-EV;5
ROS-694;e-up!;1
AABF-264;Niro-EV;5
AACI-560;e-up!;1
AACB-979;e-up!;1
AAAI-403;Niro-EV;5
RCV-864;Niro-EV;5
NDB-014;Kangoo-Z.E.;3
AAAB-317;e-up!;1
PIL-166;Niro-EV;5
RRI-757;e-up!;2
AAAE-642;Niro-EV;5
AABG-774;Citigo|e-iV;2
AABD-059;e-up!;1
AACM-777;Kangoo-Z.E.;3
AACE-256;Niro-EV;5
NCP-485;Niro-EV;5
TSD-677;e-up!;1
NEE-471;e-up!;1
AABE-161;Citigo|e-iV;2
SVE-385;e-up!;1
TAH-297;e-up!;1
AACK-384;e-up!;1
NCR-126;e-up!;2
AABN-879;Niro-EV;5
PVC-181;e-up!;2
TXD-255;e-up!;2
AACC-987;Citigo|e-iV;2
AAAH-142;Citigo|e-iV;2
AACJ-842;Kangoo-Z.E.;3
SWX-102;e-up!;1
TTR-643;Niro-EV;5
SAH-228;e-up!;2
NMZ-088;Vivaro-e;4
AABO-313;Citigo|e-iV;2
MRN-582;Vivaro-e;4
AACF-424;Kangoo-Z.E.;3
SLZ-589;Niro-EV;5
AABA-462;e-up!;1
SAW-728;Citigo|e-iV;2
AACC-323;Vivaro-e;4
NRL-944;Vivaro-e;4
SWR-218;Vivaro-e;4
AACD-265;Citigo|e-iV;2
AABI-982;Vivaro-e;4
AABD-189;Kangoo-Z.E.;3
AAAD-062;e-up!;2
AACA-890;e-up!;2
PAA-144;e-up!;1
AABH-537;e-up!;2
AABG-518;Niro-EV;5
AACN-570;Vivaro-e;4
AAAA-952;Citigo|e-iV;2
AABB-255;Vivaro-e;4
AABI-748;Citigo|e-iV;2
NQY-409;e-up!;2
SMY-534;Vivaro-e;4
PHK-386;Niro-EV;5
NBN-641;Vivaro-e;4
AAAD-856;e-up!;2
PRS-276;e-up!;2
AABA-064;e-up!;2
MQJ-463;Kangoo-Z.E.;3
SRG-373;Niro-EV;5
AAAA-026;Vivaro-e;4
SOS-090;Niro-EV;5
PHE-946;e-up!;2
SMC-818;e-up!;2
AABF-085;Citigo|e-iV;2
AABE-748;Citigo|e-iV;2
SUX-927;Citigo|e-iV;2
AACA-912;Vivaro-e;4
AABN-828;Niro-EV;5
NTM-485;e-up!;2
AAAE-910;Vivaro-e;4
AACO-742;e-up!;1
PVN-812;Citigo|e-iV;2
AAAJ-332;Niro-EV;5
AABH-835;Niro-EV;5
AAAO-202;Niro-EV;5
SLF-208;Citigo|e-iV;2
TPJ-019;e-up!;2
AAAE-613;e-up!;2
RHP-074;Kangoo-Z.E.;3
AACM-910;e-up!;2
AAAM-686;Vivaro-e;4
PFB-542;Niro-EV;5
